T(sec)	Sa(cm/s2)
0	0.0687
0.01	0.0691
0.02	0.0712
0.03	0.0746
0.04	0.0876
0.05	0.1354
0.06	0.267
0.07	0.5474
0.08	1.0179
0.09	1.6182
0.1	2.1233
0.11	2.1979
0.12	1.6176
0.13	0.5259
0.14	-0.5445
0.15	-1.0195
0.16	-0.7577
0.17	-0.174
0.18	0.1844
0.19	0.2064
0.2	0.2924
0.21	0.7936
0.22	1.4326
0.23	1.4345
0.24	0.3356
0.25	-1.3749
0.26	-2.5287
0.27	-2.2586
0.28	-0.7349
0.29	1.0045
0.3	1.8575
0.31	1.3259
0.32	-0.3369
0.33	-2.3136
0.34	-3.5605
0.35	-3.386
0.36	-2.1169
0.37	-1.1102
0.38	-1.6237
0.39	-3.4241
0.4	-4.7945
0.41	-4.2762
0.42	-2.2737
0.43	-0.5383
0.44	-0.0738
0.45	-0.0689
0.46	0.8106
0.47	2.5156
0.48	3.6308
0.49	3.2558
0.5	2.2022
0.51	1.925
0.52	2.6607
0.53	3.2301
0.54	2.6697
0.55	1.47
0.56	0.8681
0.57	1.2669
0.58	1.8642
0.59	1.8185
0.6	1.2893
0.61	1.0549
0.62	1.3892
0.63	1.7391
0.64	1.5196
0.65	0.8578
0.66	0.3264
0.67	0.1249
0.68	-0.1634
0.69	-0.9699
0.7	-2.132
0.71	-3.0384
0.72	-3.2845
0.73	-3.025
0.74	-2.7045
0.75	-2.6032
0.76	-2.7082
0.77	-2.8922
0.78	-3.0597
0.79	-3.1205
0.8	-2.9554
0.81	-2.4983
0.82	-1.8319
0.83	-1.1481
0.84	-0.5995
0.85	-0.2016
0.86	0.1248
0.87	0.4312
0.88	0.6769
0.89	0.8134
0.9	0.9542
0.91	1.4204
0.92	2.5017
0.93	4.089
0.94	5.5934
0.95	6.365
0.96	6.2502
0.97	5.6773
0.98	5.1376
0.99	4.6539
1	3.865
1.01	2.6111
1.02	1.2746
1.03	0.4351
1.04	0.2487
1.05	0.2978
1.06	0.0624
1.07	-0.5681
1.08	-1.2999
1.09	-1.8368
1.1	-2.1325
1.11	-2.2625
1.12	-2.2279
1.13	-2.0278
1.14	-1.8658
1.15	-2.0899
1.16	-2.8193
1.17	-3.7092
1.18	-4.2246
1.19	-4.1679
1.2	-3.8227
1.21	-3.5198
1.22	-3.1723
1.23	-2.4019
1.24	-1.1099
1.25	0.274
1.26	1.2461
1.27	1.8151
1.28	2.4229
1.29	3.2584
1.3	3.8752
1.31	3.6792
1.32	2.7137
1.33	1.7192
1.34	1.3337
1.35	1.3981
1.36	1.2216
1.37	0.4632
1.38	-0.4611
1.39	-0.9091
1.4	-0.7827
1.41	-0.6003
1.42	-0.8569
1.43	-1.4967
1.44	-2.0771
1.45	-2.2963
1.46	-2.1981
1.47	-1.9221
1.48	-1.4758
1.49	-0.8627
1.5	-0.2964
1.51	-0.0799
1.52	-0.2436
1.53	-0.4465
1.54	-0.3416
1.55	0.0143
1.56	0.2177
1.57	-0.0169
1.58	-0.5229
1.59	-0.838
1.6	-0.6375
1.61	0.0151
1.62	0.7887
1.63	1.3728
1.64	1.6463
1.65	1.6378
1.66	1.3939
1.67	0.9207
1.68	0.2646
1.69	-0.3514
1.7	-0.5163
1.71	0.1431
1.72	1.6171
1.73	3.3639
1.74	4.5842
1.75	4.7846
1.76	4.1632
1.77	3.4376
1.78	3.2183
1.79	3.4794
1.8	3.6222
1.81	3.0711
1.82	1.823
1.83	0.4201
1.84	-0.6062
1.85	-1.2416
1.86	-1.9281
1.87	-3.0053
1.88	-4.2382
1.89	-4.9283
1.9	-4.5217
1.91	-3.1352
1.92	-1.5247
1.93	-0.5493
1.94	-0.6032
1.95	-1.4202
1.96	-2.3079
1.97	-2.5907
1.98	-1.9962
1.99	-0.7838
2	0.4614
2.01	1.2481
2.02	1.5045
2.03	1.5544
2.04	1.8003
2.05	2.4297
2.06	3.3645
2.07	4.3834
2.08	5.2261
2.09	5.6511
2.1	5.5356
2.11	4.9817
2.12	4.266
2.13	3.6179
2.14	3.0744
2.15	2.6008
2.16	2.2914
2.17	2.2939
2.18	2.4652
2.19	2.2282
2.2	0.986
2.21	-1.2177
2.22	-3.5159
2.23	-4.8102
2.24	-4.6082
2.25	-3.3153
2.26	-1.789
2.27	-0.6971
2.28	-0.2605
2.29	-0.3947
2.3	-0.8663
2.31	-1.3041
2.32	-1.2848
2.33	-0.6491
2.34	0.241
2.35	0.7169
2.36	0.4139
2.37	-0.3448
2.38	-0.8723
2.39	-0.8457
2.4	-0.6215
2.41	-0.749
2.42	-1.2287
2.43	-1.4088
2.44	-0.7019
2.45	0.6707
2.46	1.7731
2.47	1.8052
2.48	0.7796
2.49	-0.6479
2.5	-1.8521
2.51	-2.5924
2.52	-2.7966
2.53	-2.3233
2.54	-1.1786
2.55	0.1344
2.56	0.7973
2.57	0.4027
2.58	-0.5678
2.59	-1.1483
2.6	-0.8027
2.61	0.1267
2.62	0.871
2.63	1.0127
2.64	0.7488
2.65	0.4914
2.66	0.3787
2.67	0.2123
2.68	-0.2548
2.69	-1.0694
2.7	-2.0536
2.71	-2.9097
2.72	-3.3614
2.73	-3.325
2.74	-3.014
2.75	-2.8123
2.76	-2.9571
2.77	-3.3517
2.78	-3.7071
