T(sec)	Sa(cm/s2)
0	-0.0497
0.01	-0.0498
0.02	-0.0495
0.03	-0.0519
0.04	-0.0658
0.05	-0.1075
0.06	-0.2034
0.07	-0.3807
0.08	-0.6365
0.09	-0.8958
0.1	-1.0095
0.11	-0.8386
0.12	-0.3907
0.13	0.1183
0.14	0.3915
0.15	0.3023
0.16	0.0239
0.17	-0.1371
0.18	-0.0701
0.19	0.0046
0.2	-0.2261
0.21	-0.8082
0.22	-1.4399
0.23	-1.7427
0.24	-1.5508
0.25	-0.9276
0.26	-0.0074
0.27	1.068
0.28	2.1038
0.29	2.8956
0.3	3.3669
0.31	3.5634
0.32	3.4674
0.33	2.9723
0.34	2.1781
0.35	1.5605
0.36	1.5397
0.37	1.8515
0.38	1.6789
0.39	0.6332
0.4	-0.6347
0.41	-1.1698
0.42	-0.9736
0.43	-1.0571
0.44	-2.0368
0.45	-3.0868
0.46	-2.7775
0.47	-0.8815
0.48	1.1498
0.49	1.7074
0.5	0.6844
0.51	-0.6881
0.52	-1.4197
0.53	-1.6764
0.54	-2.0691
0.55	-2.5442
0.56	-2.4398
0.57	-1.5181
0.58	-0.4672
0.59	-0.1845
0.6	-0.814
0.61	-1.7389
0.62	-2.3859
0.63	-2.7151
0.64	-2.8846
0.65	-2.7606
0.66	-2.0373
0.67	-0.7566
0.68	0.5645
0.69	1.41
0.7	1.7232
0.71	1.7962
0.72	1.8304
0.73	1.7721
0.74	1.5429
0.75	1.2265
0.76	0.9233
0.77	0.5454
0.78	-0.0744
0.79	-0.8714
0.8	-1.5095
0.81	-1.7495
0.82	-1.774
0.83	-1.9919
0.84	-2.4899
0.85	-2.7983
0.86	-2.3245
0.87	-1.017
0.88	0.4912
0.89	1.4397
0.9	1.6026
0.91	1.3827
0.92	1.3242
0.93	1.612
0.94	2.0124
0.95	2.1737
0.96	1.9199
0.97	1.335
0.98	0.6891
0.99	0.2997
1	0.3639
1.01	0.8304
1.02	1.4192
1.03	1.7948
1.04	1.7473
1.05	1.2617
1.06	0.4931
1.07	-0.2922
1.08	-0.8388
1.09	-1.0849
1.1	-1.2311
1.11	-1.5195
1.12	-1.891
1.13	-1.9554
1.14	-1.4151
1.15	-0.4801
1.16	0.2906
1.17	0.5957
1.18	0.6988
1.19	1.0098
1.2	1.4643
1.21	1.5406
1.22	0.9365
1.23	0.0276
1.24	-0.5243
1.25	-0.5329
1.26	-0.4396
1.27	-0.679
1.28	-1.1111
1.29	-1.2598
1.3	-0.9944
1.31	-0.7076
1.32	-0.7501
1.33	-0.9043
1.34	-0.6324
1.35	0.218
1.36	1.189
1.37	1.7744
1.38	2.0241
1.39	2.3921
1.4	3.0378
1.41	3.5182
1.42	3.2978
1.43	2.4199
1.44	1.4719
1.45	0.9019
1.46	0.5815
1.47	0.1557
1.48	-0.3391
1.49	-0.4493
1.5	0.0862
1.51	0.9125
1.52	1.3953
1.53	1.2821
1.54	0.848
1.55	0.4109
1.56	-0.0623
1.57	-0.7356
1.58	-1.4636
1.59	-1.844
1.6	-1.7434
1.61	-1.5428
1.62	-1.7007
1.63	-2.1886
1.64	-2.5618
1.65	-2.5536
1.66	-2.3557
1.67	-2.2096
1.68	-1.9463
1.69	-1.2142
1.7	-0.1359
1.71	0.5688
1.72	0.325
1.73	-0.5518
1.74	-1.1002
1.75	-0.7635
1.76	-0.0328
1.77	0.092
1.78	-0.7834
1.79	-2.0152
1.8	-2.6014
1.81	-2.1445
