T(sec)	Sa(gal)
0.01	350
0.02	380
0.03	410
0.04	440
0.05	470
0.06	500
0.07	530
0.08	560
0.09	590
0.1	620
0.11	650
0.12	680
0.13	710
0.14	740
0.15	770
0.16	800
0.17	800
0.18	800
0.19	800
0.2	800
0.21	800
0.22	800
0.23	800
0.24	800
0.25	800
0.26	800
0.27	800
0.28	800
0.29	800
0.3	800
0.31	800
0.32	800
0.33	800
0.34	800
0.35	800
0.36	800
0.37	800
0.38	800
0.39	800
0.4	800
0.41	800
0.42	800
0.43	800
0.44	800
0.45	800
0.46	800
0.47	800
0.48	800
0.49	800
0.5	800
0.51	800
0.52	800
0.53	800
0.54	800
0.55	800
0.56	800
0.57	800
0.58	800
0.59	800
0.6	800
0.61	800
0.62	800
0.63	800
0.64	800
0.65	787.6923077
0.66	775.7575758
0.67	764.1791045
0.68	752.9411765
0.69	742.0289855
0.7	731.4285714
0.71	721.1267606
0.72	711.1111111
0.73	701.369863
0.74	691.8918919
0.75	682.6666667
0.76	673.6842105
0.77	664.9350649
0.78	656.4102564
0.79	648.1012658
0.8	640
0.81	632.0987654
0.82	624.3902439
0.83	616.8674699
0.84	609.5238095
0.85	602.3529412
0.86	595.3488372
0.87	588.5057471
0.88	581.8181818
0.89	575.2808989
0.9	568.8888889
0.91	562.6373626
0.92	556.5217391
0.93	550.5376344
0.94	544.6808511
0.95	538.9473684
0.96	533.3333333
0.97	527.8350515
0.98	522.4489796
0.99	517.1717172
1	512
1.01	506.9306931
1.02	501.9607843
1.03	497.0873786
1.04	492.3076923
1.05	487.6190476
1.06	483.0188679
1.07	478.5046729
1.08	474.0740741
1.09	469.7247706
1.1	465.4545455
1.11	461.2612613
1.12	457.1428571
1.13	453.0973451
1.14	449.122807
1.15	445.2173913
1.16	441.3793103
1.17	437.6068376
1.18	433.8983051
1.19	430.2521008
1.2	426.6666667
1.21	423.1404959
1.22	419.6721311
1.23	416.2601626
1.24	412.9032258
1.25	409.6
1.26	406.3492063
1.27	403.1496063
1.28	400
1.29	396.8992248
1.3	393.8461538
1.31	390.8396947
1.32	387.8787879
1.33	384.962406
1.34	382.0895522
1.35	379.2592593
1.36	376.4705882
1.37	373.7226277
1.38	371.0144928
1.39	368.3453237
1.4	365.7142857
1.41	363.1205674
1.42	360.5633803
1.43	358.041958
1.44	355.5555556
1.45	353.1034483
1.46	350.6849315
1.47	348.2993197
1.48	345.9459459
1.49	343.6241611
1.5	341.3333333
1.51	339.0728477
1.52	336.8421053
1.53	334.6405229
1.54	332.4675325
1.55	330.3225806
1.56	328.2051282
1.57	326.1146497
1.58	324.0506329
1.59	322.0125786
1.6	320
1.61	318.0124224
1.62	316.0493827
1.63	314.1104294
1.64	312.195122
1.65	310.3030303
1.66	308.4337349
1.67	306.5868263
1.68	304.7619048
1.69	302.9585799
1.7	301.1764706
1.71	299.4152047
1.72	297.6744186
1.73	295.9537572
1.74	294.2528736
1.75	292.5714286
1.76	290.9090909
1.77	289.2655367
1.78	287.6404494
