T(sec)	Sa(cm/s2)
0	-0.2015
0.01	0.1538
0.02	-0.48
0.03	-0.6667
0.04	0.3037
0.05	1.5446
0.06	2.2671
0.07	2.7514
0.08	3.1238
0.09	2.7267
0.1	1.5247
0.11	0.8009
0.12	1.425
0.13	2.4376
0.14	2.3842
0.15	1.2849
0.16	0.3216
0.17	0.2111
0.18	0.7985
0.19	1.7166
0.2	2.5313
0.21	2.6165
0.22	1.7325
0.23	0.5102
0.24	-0.2524
0.25	-0.5005
0.26	-0.6489
0.27	-0.859
0.28	-1.1875
0.29	-1.9689
0.3	-3.2941
0.31	-4.4384
0.32	-4.5722
0.33	-3.8392
0.34	-3.0559
0.35	-2.5381
0.36	-1.9157
0.37	-0.9683
0.38	0.0568
0.39	0.9295
0.4	1.6174
0.41	1.9756
0.42	1.8285
0.43	1.4097
0.44	1.197
0.45	1.2227
0.46	1.0026
0.47	0.2753
0.48	-0.566
0.49	-0.9181
0.5	-0.581
0.51	0.1463
0.52	0.7473
0.53	0.8165
0.54	0.3127
0.55	-0.4383
0.56	-1.0485
0.57	-1.3128
0.58	-1.1529
0.59	-0.6163
0.6	-0.1031
0.61	-0.2494
0.62	-1.2015
0.63	-2.1963
0.64	-2.2588
0.65	-1.2579
0.66	0.0089
0.67	0.7034
0.68	0.6795
0.69	0.4253
0.7	0.4834
0.71	0.865
0.72	0.991
0.73	0.421
0.74	-0.3979
0.75	-0.5856
0.76	-0.0948
0.77	0.1726
0.78	-0.2043
0.79	-0.4769
0.8	-0.0706
0.81	0.278
0.82	-0.254
0.83	-0.9341
0.84	-0.4327
0.85	0.9358
0.86	1.4929
0.87	0.7675
0.88	0.1733
0.89	0.6338
0.9	1.0673
0.91	0.1889
0.92	-1.4118
0.93	-2.2607
0.94	-2.2258
0.95	-2.3141
0.96	-2.6061
0.97	-1.8256
0.98	0.859
0.99	4.646
1	7.9975
1.01	9.9504
1.02	10.2959
1.03	9.2249
1.04	7.2472
1.05	4.9783
1.06	2.6332
1.07	0.1097
1.08	-2.1641
1.09	-3.0139
1.1	-1.732
1.11	0.7593
1.12	2.5956
1.13	2.8468
1.14	2.1915
1.15	1.5902
1.16	0.8585
1.17	-0.9032
1.18	-3.721
1.19	-6.3584
1.2	-7.7919
1.21	-8.4668
1.22	-9.4304
1.23	-10.5003
1.24	-10.1797
1.25	-7.5878
1.26	-3.7435
1.27	-0.4994
1.28	1.2089
1.29	1.5442
1.3	0.8706
1.31	-0.3761
1.32	-1.2218
1.33	-0.6807
1.34	1.0582
1.35	2.8495
1.36	4.2881
1.37	6.3074
1.38	9.5503
1.39	12.9357
1.4	14.6839
1.41	14.3139
1.42	12.7467
1.43	10.7134
1.44	8.1173
1.45	5.111
1.46	2.7867
1.47	2.1003
1.48	2.5507
1.49	2.6384
1.5	1.6337
1.51	0.3763
1.52	0.0714
1.53	0.594
1.54	0.5159
1.55	-1.019
1.56	-2.9399
1.57	-3.3907
1.58	-2.0615
1.59	-0.5485
1.6	-0.2124
1.61	-0.6077
1.62	-0.5757
1.63	0.0828
1.64	1.0231
1.65	2.6315
1.66	5.4283
1.67	8.5512
1.68	10.4094
1.69	10.8387
1.7	10.9954
1.71	10.9607
1.72	9.4003
1.73	6.2929
1.74	3.9034
1.75	3.5629
1.76	3.2721
1.77	0.641
1.78	-2.9796
1.79	-3.8538
1.8	-1.0064
1.81	2.423
1.82	3.2433
1.83	1.4818
1.84	-1.0207
1.85	-3.2856
1.86	-5.2991
1.87	-6.8305
1.88	-7.4686
1.89	-7.1804
1.9	-6.0435
1.91	-4.0586
1.92	-1.7566
1.93	-0.1956
1.94	0.2073
1.95	0.1
1.96	0.0513
1.97	-0.1181
1.98	-0.4968
1.99	-0.7135
2	-0.9233
2.01	-1.8424
2.02	-3.0295
2.03	-2.5701
2.04	0.3253
2.05	3.6506
2.06	4.96
2.07	4.3844
2.08	3.7975
2.09	3.922
2.1	4.0206
2.11	3.7825
2.12	3.5964
2.13	3.2551
2.14	2.2164
2.15	1.0528
2.16	0.9139
2.17	1.5408
2.18	1.4804
2.19	0.3121
2.2	-1.0606
2.21	-2.4219
2.22	-4.5996
2.23	-7.3526
2.24	-8.8204
2.25	-7.9408
2.26	-5.8555
2.27	-4.0563
2.28	-2.6364
2.29	-1.3175
2.3	-0.6681
2.31	-0.9863
2.32	-1.1752
2.33	-0.1369
2.34	1.5585
2.35	2.6306
2.36	2.918
2.37	3.0358
2.38	2.9861
2.39	2.4843
2.4	2.0885
2.41	2.5221
2.42	3.0926
2.43	2.1281
2.44	-0.9491
2.45	-4.9681
2.46	-8.3834
2.47	-10.3931
2.48	-10.7586
2.49	-9.4985
2.5	-6.9987
2.51	-3.85
2.52	-0.524
2.53	2.383
2.54	3.883
2.55	3.2826
