T(sec)	Sa(cm/s2)
0	-0.7075
0.01	0.3101
0.02	0.6862
0.03	0.2348
0.04	-0.1436
0.05	0.1427
0.06	0.7676
0.07	1.3004
0.08	1.5955
0.09	1.3151
0.1	0.17
0.11	-1.1858
0.12	-1.5854
0.13	-0.9655
0.14	-0.5428
0.15	-1.0489
0.16	-1.76
0.17	-1.6748
0.18	-0.7457
0.19	0.5075
0.2	1.7574
0.21	2.7313
0.22	3.0292
0.23	2.6111
0.24	1.9677
0.25	1.4904
0.26	1.1618
0.27	1.0044
0.28	1.1696
0.29	1.4221
0.3	1.2767
0.31	0.8709
0.32	0.9611
0.33	1.796
0.34	2.7009
0.35	2.9997
0.36	2.621
0.37	1.633
0.38	0.0659
0.39	-1.5044
0.4	-2.0971
0.41	-1.5071
0.42	-0.6089
0.43	-0.1125
0.44	0.218
0.45	0.7348
0.46	1.1566
0.47	1.1743
0.48	1.0522
0.49	1.0555
0.5	0.9421
0.51	0.5728
0.52	0.3943
0.53	0.7405
0.54	1.2292
0.55	1.4209
0.56	1.541
0.57	1.963
0.58	2.4508
0.59	2.5167
0.6	2.1804
0.61	1.86
0.62	1.8084
0.63	2.0543
0.64	2.5637
0.65	3.1027
0.66	3.3039
0.67	3.1915
0.68	3.2338
0.69	3.5286
0.7	3.3686
0.71	2.0453
0.72	-0.2103
0.73	-2.4298
0.74	-3.8082
0.75	-4.1929
0.76	-3.9786
0.77	-3.7008
0.78	-3.4565
0.79	-2.6836
0.8	-0.8892
0.81	1.4481
0.82	3.2523
0.83	4.116
0.84	4.535
0.85	4.8488
0.86	4.7393
0.87	3.9568
0.88	2.746
0.89	1.3203
0.9	-0.2422
0.91	-1.3186
0.92	-0.9913
0.93	0.4472
0.94	1.1785
0.95	-0.1377
0.96	-2.709
0.97	-4.6969
0.98	-5.293
0.99	-4.8771
1	-3.7805
1.01	-2.0812
1.02	-0.3941
1.03	0.3433
1.04	0.1399
1.05	0.1873
1.06	1.4186
1.07	3.2921
1.08	4.3598
1.09	3.7971
1.1	2.1149
1.11	0.5314
1.12	-0.0653
1.13	0.4603
1.14	1.7246
1.15	3.0733
1.16	3.6882
1.17	3.1022
1.18	1.9931
1.19	1.9241
1.2	3.6165
1.21	5.7981
1.22	6.5425
1.23	5.5536
1.24	4.2289
1.25	3.5384
1.26	2.9354
1.27	1.6345
1.28	-0.0749
1.29	-1.3567
1.3	-1.9075
1.31	-1.9684
1.32	-1.94
1.33	-2.4971
1.34	-4.3054
1.35	-6.8783
1.36	-8.4038
1.37	-7.7181
1.38	-6.0874
1.39	-5.9477
1.4	-7.8641
1.41	-9.6986
1.42	-9.1138
1.43	-6.225
1.44	-3.3122
1.45	-2.3122
1.46	-3.1126
1.47	-4.2163
1.48	-4.5568
1.49	-4.2914
1.5	-3.8942
